Date,count_heard_inf,news_inflation,news_inflation_ratio,count_heard_unfav,unfav_inflation,unfav_inflation_ratio,count_heard_fav,fav_inflation,fav_inflation_ratio,count_up_or_down,go_up,go_up_same_rate,stay_same,go_down
1997.083333333316,500,7,0.014,500,2,0.004,500,5,0.01,500,364,61,62,5
1997.1666666666492,501,8,0.015968063872255488,501,6,0.011976047904191617,501,2,0.003992015968063872,501,352,71,69,8
1997.2499999999825,500,4,0.008,500,3,0.006,500,1,0.002,500,370,60,60,7
1997.3333333333157,500,2,0.004,500,1,0.002,500,1,0.002,500,379,66,45,9
1997.416666666649,501,8,0.015968063872255488,501,3,0.005988023952095809,501,5,0.00998003992015968,501,370,64,56,8
1997.4999999999823,500,10,0.02,500,2,0.004,500,8,0.016,500,341,73,67,11
1997.5833333333155,500,10,0.02,500,2,0.004,500,8,0.016,500,363,58,64,6
1997.6666666666488,500,11,0.022,500,3,0.006,500,8,0.016,500,374,56,59,5
1997.749999999982,500,11,0.022,500,6,0.012,500,5,0.01,500,349,58,78,11
1997.8333333333153,500,1,0.002,500,0,0.0,500,1,0.002,500,343,80,65,9
1997.9166666666486,500,2,0.004,500,1,0.002,500,1,0.002,500,343,53,92,10
1997.9999999999818,500,7,0.014,500,6,0.012,500,1,0.002,500,308,52,110,25
1998.083333333315,496,1,0.0020161290322580645,496,1,0.0020161290322580645,496,0,0.0,496,312,51,102,22
1998.1666666666483,503,2,0.003976143141153081,503,2,0.003976143141153081,503,0,0.0,503,306,70,103,17
1998.2499999999816,500,4,0.008,500,2,0.004,500,2,0.004,500,318,60,100,13
1998.3333333333148,500,5,0.01,500,3,0.006,500,2,0.004,500,344,65,78,8
1998.416666666648,500,5,0.01,500,2,0.004,500,3,0.006,500,348,62,73,10
1998.4999999999814,500,7,0.014,500,2,0.004,500,5,0.01,500,322,75,83,10
1998.5833333333146,500,6,0.012,500,2,0.004,500,4,0.008,500,318,78,81,14
1998.6666666666479,508,4,0.007874015748031496,508,4,0.007874015748031496,508,0,0.0,508,287,84,102,23
1998.7499999999811,500,1,0.002,500,0,0.0,500,1,0.002,500,272,96,103,20
1998.8333333333144,503,4,0.007952286282306162,503,4,0.007952286282306162,503,0,0.0,503,288,80,109,24
1998.9166666666476,501,3,0.005988023952095809,501,2,0.003992015968063872,501,1,0.001996007984031936,501,298,83,93,22
