Date,total_num_articles,num_of_relevant_articles,inflation_articles_per_month,positive_articles,neutral_articles,negative_articles,sentiment_gap
1997.8333333333171,7893.0,397.0,14.0,3.0,1.0,10.0,7.0
1997.9166666666504,7742.0,314.0,9.0,1.0,0.0,8.0,7.0
1997.9999999999836,7825.0,350.0,20.0,4.0,4.0,12.0,8.0
1998.083333333317,7147.0,478.0,12.0,2.0,0.0,10.0,8.0
1998.1666666666501,8137.0,423.0,5.0,0.0,0.0,5.0,5.0
1998.2499999999834,7669.0,370.0,4.0,1.0,1.0,2.0,1.0
1998.3333333333167,8089.0,424.0,15.0,1.0,3.0,11.0,10.0
1998.41666666665,7628.0,422.0,4.0,1.0,0.0,3.0,2.0
1998.4999999999832,7579.0,437.0,10.0,3.0,2.0,5.0,2.0
1998.5833333333164,7730.0,470.0,7.0,1.0,0.0,6.0,5.0
1998.6666666666497,7805.0,663.0,11.0,0.0,0.0,11.0,11.0
1998.749999999983,8314.0,585.0,7.0,1.0,0.0,6.0,5.0
1998.8333333333162,8422.0,539.0,8.0,0.0,1.0,7.0,7.0
1998.9166666666495,7899.0,656.0,5.0,1.0,1.0,3.0,2.0
1998.9999999999827,8588.0,630.0,13.0,3.0,0.0,10.0,7.0
1999.083333333316,7439.0,531.0,8.0,0.0,2.0,6.0,6.0
1999.1666666666492,8372.0,477.0,12.0,4.0,2.0,6.0,2.0
1999.2499999999825,7879.0,716.0,14.0,1.0,3.0,10.0,9.0
1999.3333333333157,8031.0,652.0,10.0,0.0,2.0,8.0,8.0
1999.416666666649,8382.0,588.0,19.0,3.0,2.0,14.0,11.0
1999.4999999999823,7821.0,442.0,12.0,1.0,2.0,9.0,8.0
1999.5833333333155,7755.0,381.0,19.0,2.0,4.0,13.0,11.0
1999.6666666666488,7575.0,396.0,14.0,4.0,1.0,9.0,5.0
1999.749999999982,8511.0,392.0,11.0,3.0,2.0,6.0,3.0
1999.8333333333153,7874.0,380.0,16.0,2.0,6.0,8.0,6.0
1999.9166666666486,8034.0,328.0,7.0,1.0,2.0,4.0,3.0
1999.9999999999818,8502.0,278.0,13.0,0.0,4.0,9.0,9.0
2000.083333333315,7953.0,326.0,18.0,3.0,4.0,11.0,8.0
2000.1666666666483,8482.0,376.0,14.0,2.0,2.0,10.0,8.0
2000.2499999999816,8231.0,499.0,10.0,5.0,3.0,2.0,-3.0
2000.3333333333148,8331.0,400.0,15.0,3.0,3.0,9.0,6.0
2000.416666666648,8193.0,388.0,9.0,0.0,2.0,7.0,7.0
2000.4999999999814,8215.0,376.0,9.0,1.0,2.0,6.0,5.0
2000.5833333333146,8131.0,361.0,11.0,2.0,4.0,5.0,3.0
2000.6666666666479,9736.0,417.0,6.0,1.0,1.0,4.0,3.0
2000.7499999999811,9966.0,477.0,10.0,1.0,2.0,7.0,6.0
2000.8333333333144,8635.0,357.0,7.0,0.0,0.0,7.0,7.0
2000.9166666666476,8425.0,530.0,10.0,0.0,1.0,9.0,9.0
2000.999999999981,9180.0,597.0,4.0,0.0,1.0,3.0,3.0
2001.0833333333142,8230.0,661.0,5.0,0.0,2.0,3.0,3.0
2001.1666666666474,8978.0,700.0,5.0,0.0,1.0,4.0,4.0
2001.2499999999807,8788.0,643.0,9.0,0.0,0.0,9.0,9.0
2001.333333333314,9649.0,650.0,7.0,1.0,0.0,6.0,5.0
2001.4166666666472,9215.0,669.0,12.0,2.0,0.0,10.0,8.0
2001.4999999999804,9058.0,518.0,2.0,0.0,0.0,2.0,2.0
2001.5833333333137,9214.0,535.0,1.0,0.0,0.0,1.0,1.0
2001.666666666647,9482.0,2027.0,4.0,0.0,0.0,4.0,4.0
2001.7499999999802,10168.0,1784.0,4.0,1.0,0.0,3.0,2.0
2001.8333333333135,9667.0,1018.0,4.0,0.0,0.0,4.0,4.0
2001.9166666666467,9683.0,967.0,9.0,0.0,1.0,8.0,8.0
2001.99999999998,9147.0,676.0,3.0,0.0,0.0,3.0,3.0
